,created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
0,2014-06-07,0.3452,8,,,,,,,,,,,,,,,,
1,2014-06-08,0.1552,6,0.3452,8.0,,,,,,,,,,,,,,
2,2014-06-09,0.195475,4,0.1552,6.0,0.3452,8.0,,,41.59,42.0,40.84,41.06,41.06,41.95,42.16,41.44,41.63,41.63
3,2014-06-10,0.2370769230769231,13,0.195475,4.0,0.1552,6.0,0.3452,8.0,40.89,41.39,40.31,40.46,40.46,41.59,42.0,40.84,41.06,41.06
4,2014-06-11,0.3078444444444444,9,0.2370769230769231,13.0,0.195475,4.0,0.1552,6.0,40.3,41.0,39.85,40.89,40.89,40.89,41.39,40.31,40.46,40.46
5,2014-06-12,0.16612500000000002,8,0.3078444444444444,9.0,0.2370769230769231,13.0,0.195475,4.0,41.02,41.98,40.54,40.7,40.7,40.3,41.0,39.85,40.89,40.89
6,2014-06-13,0.2590428571428572,14,0.16612500000000002,8.0,0.3078444444444444,9.0,0.2370769230769231,13.0,40.96,41.36,40.32,41.28,41.28,41.02,41.98,40.54,40.7,40.7
7,2014-06-14,0.33440000000000003,3,0.2590428571428572,14.0,0.16612500000000002,8.0,0.3078444444444444,9.0,,,,,,,,,,
8,2014-06-15,0.4753,1,0.33440000000000003,3.0,0.2590428571428572,14.0,0.16612500000000002,8.0,,,,,,,,,,
9,2014-06-16,0.24835,4,0.4753,1.0,0.33440000000000003,3.0,0.2590428571428572,14.0,41.35,45.1,41.25,44.92,44.92,40.96,41.36,40.32,41.28,41.28
10,2014-06-17,0.3144375,24,0.24835,4.0,0.4753,1.0,0.33440000000000003,3.0,44.82,47.11,44.57,46.33,46.33,41.35,45.1,41.25,44.92,44.92
11,2014-06-18,0.4650458333333334,24,0.3144375,24.0,0.24835,4.0,0.4753,1.0,46.3,46.34,45.22,45.42,45.42,44.82,47.11,44.57,46.33,46.33
12,2014-06-19,0.52591,10,0.4650458333333334,24.0,0.3144375,24.0,0.24835,4.0,45.78,47.06,45.4,45.56,45.56,46.3,46.34,45.22,45.42,45.42
13,2014-06-20,0.3567,10,0.52591,10.0,0.4650458333333334,24.0,0.3144375,24.0,45.7,46.26,45.24,45.92,45.92,45.78,47.06,45.4,45.56,45.56
14,2014-06-21,0.49758,5,0.3567,10.0,0.52591,10.0,0.4650458333333334,24.0,,,,,,,,,,
15,2014-06-22,0.3256,5,0.49758,5.0,0.3567,10.0,0.52591,10.0,,,,,,,,,,
