created_at,sentiment,volumne,sentiment_1dlag,volumne_1dlag,sentiment_2dlag,volumne_2dlag,sentiment_3dlag,volumne_3dlag,open,high,low,close,adjclose,open_prevDay,high_prevDay,low_prevDay,close_prevDay,adjclose_prevDay
2019-12-29,0.0,1,,,,,,,,,,,,,,,,
2019-12-30,0.17559148936170219,47,0.0,1.0,,,,,85.76,85.8,81.85,82.94,82.94,87.0,87.06,85.22,86.08,86.08
2019-12-31,0.18512,5,0.17559148936170219,47.0,0.0,1.0,,,81.0,84.26,80.42,83.67,83.67,85.76,85.8,81.85,82.94,82.94
2020-01-01,0.08213333333333332,3,0.18512,5.0,0.17559148936170219,47.0,0.0,1.0,,,,,,,,,,
2020-01-04,0.3906,3,0.08213333333333332,3.0,0.18512,5.0,0.17559148936170219,47.0,,,,,,,,,,
2020-01-05,0.22754999999999997,4,0.3906,3.0,0.08213333333333332,3.0,0.18512,5.0,,,,,,,,,,
2020-01-06,0.0,2,0.22754999999999997,4.0,0.3906,3.0,0.08213333333333332,3.0,88.09,90.31,88.0,90.31,90.31,88.1,90.8,87.38,88.6,88.6
2020-01-07,0.19845714285714286,14,0.0,2.0,0.22754999999999997,4.0,0.3906,3.0,92.28,94.33,90.67,93.81,93.81,88.09,90.31,88.0,90.31,90.31
2020-01-08,0.40055,2,0.19845714285714286,14.0,0.0,2.0,0.22754999999999997,4.0,94.74,99.7,93.65,98.43,98.43,92.28,94.33,90.67,93.81,93.81
2020-01-09,0.2294,2,0.40055,2.0,0.19845714285714286,14.0,0.0,2.0,99.42,99.76,94.57,96.27,96.27,94.74,99.7,93.65,98.43,98.43
2020-01-10,0.24371333333333334,15,0.2294,2.0,0.40055,2.0,0.19845714285714286,14.0,96.36,96.99,94.74,95.63,95.63,99.42,99.76,94.57,96.27,96.27
2020-01-11,-0.055316666666666674,6,0.24371333333333334,15.0,0.2294,2.0,0.40055,2.0,,,,,,,,,,
2020-01-12,-0.05975454545454544,11,-0.055316666666666674,6.0,0.24371333333333334,15.0,0.2294,2.0,,,,,,,,,,
2020-01-13,0.8687,1,-0.05975454545454544,11.0,-0.055316666666666674,6.0,0.24371333333333334,15.0,98.7,105.13,98.4,104.97,104.97,96.36,96.99,94.74,95.63,95.63
2020-01-14,0.3806428571428571,7,0.8687,1.0,-0.05975454545454544,11.0,-0.055316666666666674,6.0,108.85,109.48,104.98,107.58,107.58,98.7,105.13,98.4,104.97,104.97
2020-01-15,0.37565,2,0.3806428571428571,7.0,0.8687,1.0,-0.05975454545454544,11.0,105.95,107.57,103.36,103.7,103.7,108.85,109.48,104.98,107.58,107.58
2020-01-16,-0.1371375,8,0.37565,2.0,0.3806428571428571,7.0,0.8687,1.0,98.75,102.89,98.43,102.7,102.7,105.95,107.57,103.36,103.7,103.7
2020-01-17,0.1839090909090909,22,-0.1371375,8.0,0.37565,2.0,0.3806428571428571,7.0,101.52,103.13,100.63,102.1,102.1,98.75,102.89,98.43,102.7,102.7
2020-01-18,0.07224,5,0.1839090909090909,22.0,-0.1371375,8.0,0.37565,2.0,,,,,,,,,,
2020-01-19,0.11136428571428571,14,0.07224,5.0,0.1839090909090909,22.0,-0.1371375,8.0,,,,,,,,,,
2020-01-20,0.49033333333333334,3,0.11136428571428571,14.0,0.07224,5.0,0.1839090909090909,22.0,,,,,,,,,,
2020-01-21,0.2944857142857143,7,0.49033333333333334,3.0,0.11136428571428571,14.0,0.07224,5.0,106.05,109.72,105.68,109.44,109.44,101.52,103.13,100.63,102.1,102.1
2020-01-22,0.22123636363636365,11,0.2944857142857143,7.0,0.49033333333333334,3.0,0.11136428571428571,14.0,114.38,118.9,111.82,113.91,113.91,106.05,109.72,105.68,109.44,109.44
2020-01-23,0.33585714285714285,7,0.22123636363636365,11.0,0.2944857142857143,7.0,0.49033333333333334,3.0,112.85,116.4,111.12,114.44,114.44,114.38,118.9,111.82,113.91,113.91
2020-01-24,0.0,2,0.33585714285714285,7.0,0.22123636363636365,11.0,0.2944857142857143,7.0,114.13,114.77,110.85,112.96,112.96,112.85,116.4,111.12,114.44,114.44
2020-01-25,0.11300909090909089,11,0.0,2.0,0.33585714285714285,7.0,0.22123636363636365,11.0,,,,,,,,,,
2020-01-26,0.2463,2,0.11300909090909089,11.0,0.0,2.0,0.33585714285714285,7.0,,,,,,,,,,
2020-01-27,0.24104,5,0.2463,2.0,0.11300909090909089,11.0,0.0,2.0,108.4,112.89,107.86,111.6,111.6,114.13,114.77,110.85,112.96,112.96
2020-01-28,0.21528333333333335,6,0.24104,5.0,0.2463,2.0,0.11300909090909089,11.0,113.7,115.36,111.62,113.38,113.38,108.4,112.89,107.86,111.6,111.6
2020-01-29,0.25860769230769226,13,0.21528333333333335,6.0,0.24104,5.0,0.2463,2.0,115.14,117.96,113.49,116.2,116.2,113.7,115.36,111.62,113.38,113.38
2020-01-30,0.22571666666666668,6,0.25860769230769226,13.0,0.21528333333333335,6.0,0.24104,5.0,126.48,130.18,123.6,128.16,128.16,115.14,117.96,113.49,116.2,116.2
2020-01-31,0.15404444444444443,18,0.22571666666666668,6.0,0.25860769230769226,13.0,0.21528333333333335,6.0,128.0,130.6,126.5,130.11,130.11,126.48,130.18,123.6,128.16,128.16
2020-02-01,0.039128571428571415,7,0.15404444444444443,18.0,0.22571666666666668,6.0,0.25860769230769226,13.0,,,,,,,,,,
2020-02-02,0.26878571428571424,14,0.039128571428571415,7.0,0.15404444444444443,18.0,0.22571666666666668,6.0,,,,,,,,,,
2020-02-03,0.20320625,16,0.26878571428571424,14.0,0.039128571428571415,7.0,0.15404444444444443,18.0,134.74,157.23,134.7,156.0,156.0,128.0,130.6,126.5,130.11,130.11
2020-02-04,0.437425,4,0.20320625,16.0,0.26878571428571424,14.0,0.039128571428571415,7.0,176.59,193.8,166.78,177.41,177.41,134.74,157.23,134.7,156.0,156.0
2020-02-05,0.1798181818181818,11,0.437425,4.0,0.20320625,16.0,0.26878571428571424,14.0,164.65,169.2,140.82,146.94,146.94,176.59,193.8,166.78,177.41,177.41
2020-02-06,0.13706000000000002,25,0.1798181818181818,11.0,0.437425,4.0,0.20320625,16.0,139.98,159.17,137.4,149.79,149.79,164.65,169.2,140.82,146.94,146.94
2020-02-07,0.5602000000000001,7,0.13706000000000002,25.0,0.1798181818181818,11.0,0.437425,4.0,146.11,153.95,146.0,149.61,149.61,139.98,159.17,137.4,149.79,149.79
2020-02-08,0.20959090909090908,11,0.5602000000000001,7.0,0.13706000000000002,25.0,0.1798181818181818,11.0,,,,,,,,,,
2020-02-09,0.17716,5,0.20959090909090908,11.0,0.5602000000000001,7.0,0.13706000000000002,25.0,,,,,,,,,,
2020-02-10,0.26007142857142856,21,0.17716,5.0,0.20959090909090908,11.0,0.5602000000000001,7.0,160.0,164.0,150.48,154.26,154.26,146.11,153.95,146.0,149.61,149.61
2020-02-12,0.23570000000000002,7,0.26007142857142856,21.0,0.17716,5.0,0.20959090909090908,11.0,155.57,157.95,152.67,153.46,153.46,153.76,156.7,151.6,154.88,154.88
2020-02-13,-0.268,2,0.23570000000000002,7.0,0.26007142857142856,21.0,0.17716,5.0,148.37,163.6,147.0,160.8,160.8,155.57,157.95,152.67,153.46,153.46
